mano_clave,carta1,carta2,carta3,carta4,prob_grande,prob_chica,prob_pares,prob_juego,prob_punto,piedras_esperadas,tipo_mano,estado_juego,suma_puntos,valor_par,valor_juego
"1,4,4,5",1,4,4,5,0.0009,69.1263,3.8082,0.0000,0.1423,1.5011,Pareja de 4s,Punto de 14,14,1,0
"1,4,4,6",1,4,4,6,0.0097,69.0455,3.8082,0.0000,0.2253,1.5021,Pareja de 4s,Punto de 15,15,1,0
"1,4,4,7",1,4,4,7,0.1046,68.9647,3.8082,0.0000,0.4939,1.5104,Pareja de 4s,Punto de 16,16,1,0
"1,4,5,10",1,4,5,10,0.8927,63.7615,0.0000,0.0000,5.5039,1.4582,Sin pares,Punto de 20,20,0,0
"1,4,5,11",1,4,5,11,4.0910,63.7615,0.0000,0.0000,5.5039,1.5222,Sin pares,Punto de 20,20,0,0
"1,4,5,12",1,4,5,12,16.6641,64.4747,0.0000,0.0000,5.5039,1.7879,Sin pares,Punto de 20,20,0,0
"1,4,5,5",1,4,5,5,0.0016,67.5311,5.8063,0.0000,0.2291,1.5317,Pareja de 5s,Punto de 15,15,1,0
"1,4,5,6",1,4,5,6,0.0259,67.3503,0.0000,0.0000,0.6210,1.3662,Sin pares,Punto de 16,16,0,0
"1,4,5,7",1,4,5,7,0.1571,66.6280,0.0000,0.0000,1.2390,1.3729,Sin pares,Punto de 17,17,0,0
"1,4,6,10",1,4,6,10,1.1318,58.9842,0.0000,0.0000,8.2805,1.4507,Sin pares,Punto de 21,21,0,0
"1,4,6,11",1,4,6,11,4.6241,58.9842,0.0000,0.0000,8.2805,1.5206,Sin pares,Punto de 21,21,0,0
"1,4,6,12",1,4,6,12,19.2677,59.6751,0.0000,0.0000,8.2805,1.8273,Sin pares,Punto de 21,21,0,0
"1,4,6,6",1,4,6,6,0.0402,61.9363,10.3469,0.0000,1.4386,1.5931,Pareja de 6s,Punto de 17,17,1,0
"1,4,6,7",1,4,6,7,0.2538,61.7616,0.0000,0.0000,2.3643,1.3112,Sin pares,Punto de 18,18,0,0
"1,4,7,10",1,4,7,10,1.6360,55.2461,0.0000,0.0000,17.3563,1.6583,Sin pares,Punto de 22,22,0,0
"1,4,7,11",1,4,7,11,5.6731,55.2461,0.0000,0.0000,17.3563,1.7391,Sin pares,Punto de 22,22,0,0
"1,4,7,12",1,4,7,12,24.5209,55.9193,0.0000,0.0000,17.3563,2.1295,Sin pares,Punto de 22,22,0,0
"1,4,7,7",1,4,7,7,0.3972,57.4423,16.1070,0.0000,3.7960,1.7539,Pareja de 7s,Punto de 19,19,1,0
"1,5,10,10",1,5,10,10,2.3596,32.4027,23.0864,0.0000,50.8148,2.9123,Pareja de 10s,Punto de 26,26,1,0
"1,5,10,11",1,5,10,11,7.8145,32.7488,0.0000,0.0000,50.8148,2.3357,Sin pares,Punto de 26,26,0,0
"1,5,10,12",1,5,10,12,35.6921,33.2698,0.0000,0.0000,50.8148,2.9037,Sin pares,Punto de 26,26,0,0
"1,5,11,11",1,5,11,11,10.0214,32.4027,31.2853,0.0000,50.8148,3.3115,Pareja de 11s,Punto de 26,26,1,0
"1,5,11,12",1,5,11,12,53.1363,33.2698,0.0000,0.0000,50.8148,3.2526,Sin pares,Punto de 26,26,0,0
"1,5,12,12",1,5,12,12,80.1585,33.0087,74.8978,0.0000,50.8148,6.0347,Pareja de 12s,Punto de 26,26,1,0
"1,5,5,10",1,5,5,10,0.9263,43.6135,7.6984,0.0000,8.3953,1.3736,Pareja de 5s,Punto de 21,21,1,0
"1,5,5,11",1,5,5,11,4.1680,43.6135,7.6984,0.0000,8.3953,1.4384,Pareja de 5s,Punto de 21,21,1,0
"1,5,5,12",1,5,5,12,17.0366,43.6774,8.3466,0.0000,8.3953,1.7165,Pareja de 5s,Punto de 21,21,1,0
"1,5,5,5",1,5,5,5,0.0016,43.9332,75.4513,0.0000,0.7464,3.9191,Medias de 5s,Punto de 16,16,2,0
"1,5,5,6",1,5,5,6,0.0305,43.9332,7.6984,0.0000,1.2393,1.1474,Pareja de 5s,Punto de 17,17,1,0
"1,5,5,7",1,5,5,7,0.1697,43.8693,7.6984,0.0000,2.3555,1.1824,Pareja de 5s,Punto de 18,18,1,0
"1,5,6,10",1,5,6,10,1.2380,40.4463,0.0000,0.0000,17.4711,1.3578,Sin pares,Punto de 22,22,0,0
"1,5,6,11",1,5,6,11,4.8533,40.4463,0.0000,0.0000,17.4711,1.4301,Sin pares,Punto de 22,22,0,0
"1,5,6,12",1,5,6,12,20.4006,41.0110,0.0000,0.0000,17.4711,1.7524,Sin pares,Punto de 22,22,0,0
"1,5,6,6",1,5,6,6,0.0418,42.8620,10.3469,0.0000,2.1226,1.2322,Pareja de 6s,Punto de 18,18,1,0
"1,5,6,7",1,5,6,7,0.3006,42.7189,0.0000,0.0000,4.1039,0.9835,Sin pares,Punto de 19,19,0,0
"1,5,7,10",1,5,7,10,1.7619,37.4022,0.0000,0.0000,22.2502,1.4508,Sin pares,Punto de 23,23,0,0
"1,5,7,11",1,5,7,11,5.9219,37.4022,0.0000,0.0000,22.2502,1.5340,Sin pares,Punto de 23,23,0,0
"1,5,7,12",1,5,7,12,25.7913,37.9493,0.0000,0.0000,22.2502,1.9423,Sin pares,Punto de 23,23,0,0
"1,5,7,7",1,5,7,7,0.4031,39.1883,16.1070,0.0000,5.7883,1.4487,Pareja de 7s,Punto de 20,20,1,0
"1,6,10,10",1,6,10,10,2.3824,23.0194,23.0864,0.0000,65.1599,3.1554,Pareja de 10s,Punto de 27,27,1,0
"1,6,10,11",1,6,10,11,8.2360,23.3102,0.0000,0.0000,65.1599,2.5857,Sin pares,Punto de 27,27,0,0
"1,6,10,12",1,6,10,12,37.9493,23.7485,0.0000,0.0000,65.1599,3.1888,Sin pares,Punto de 27,27,0,0
"1,6,11,11",1,6,11,11,10.0716,23.0194,31.2853,0.0000,65.1599,3.5552,Pareja de 11s,Punto de 27,27,1,0
"1,6,11,12",1,6,11,12,55.9193,23.7485,0.0000,0.0000,65.1599,3.5482,Sin pares,Punto de 27,27,0,0
"1,6,12,12",1,6,12,12,82.5710,23.5287,74.8978,0.0000,65.1599,6.3237,Pareja de 12s,Punto de 27,27,1,0
"1,6,6,10",1,6,6,10,1.3234,29.2677,12.8082,0.0000,22.8653,1.6820,Pareja de 6s,Punto de 23,23,1,0
"1,6,6,11",1,6,6,11,5.0351,29.2677,12.8082,0.0000,22.8653,1.7563,Pareja de 6s,Punto de 23,23,1,0
"1,6,6,12",1,6,6,12,21.3033,29.3202,13.8852,0.0000,22.8653,2.1150,Pareja de 6s,Punto de 23,23,1,0
"1,6,6,6",1,6,6,6,0.0425,29.4776,76.1198,0.0000,4.0982,3.7581,Medias de 6s,Punto de 19,19,2,0
"1,6,6,7",1,6,6,7,0.3393,29.4776,12.8082,0.0000,6.3620,1.1714,Pareja de 6s,Punto de 20,20,1,0
"1,6,7,10",1,6,7,10,1.9533,27.2392,0.0000,0.0000,27.0405,1.3951,Sin pares,Punto de 24,24,0,0
"1,6,7,11",1,6,7,11,6.2942,27.2392,0.0000,0.0000,27.0405,1.4819,Sin pares,Punto de 24,24,0,0
"1,6,7,12",1,6,7,12,27.7034,27.7034,0.0000,0.0000,27.0405,1.9194,Sin pares,Punto de 24,24,0,0
"1,6,7,7",1,6,7,7,0.4116,28.7561,16.1070,0.0000,9.2455,1.3439,Pareja de 7s,Punto de 21,21,1,0
"1,7,10,10",1,7,10,10,2.4126,17.9321,23.0864,0.0000,81.5851,3.5470,Pareja de 10s,Punto de 28,28,1,0
"1,7,10,11",1,7,10,11,8.8042,18.1906,0.0000,0.0000,81.5851,2.9874,Sin pares,Punto de 28,28,0,0
"1,7,10,12",1,7,10,12,41.0110,18.5803,0.0000,0.0000,81.5851,3.6394,Sin pares,Punto de 28,28,0,0
"1,7,11,11",1,7,11,11,10.1378,17.9321,31.2853,0.0000,81.5851,3.9475,Pareja de 11s,Punto de 28,28,1,0
"1,7,11,12",1,7,11,12,59.6751,18.5803,0.0000,0.0000,81.5851,4.0127,Sin pares,Punto de 28,28,0,0
"1,7,12,12",1,7,12,12,85.7848,18.3848,74.8978,0.0000,81.5851,6.7779,Pareja de 12s,Punto de 28,28,1,0
"1,7,7,10",1,7,7,10,2.1167,21.2580,19.1373,0.0000,39.3162,2.2211,Pareja de 7s,Punto de 25,25,1,0
"1,7,7,11",1,7,7,11,6.6070,21.2580,19.1373,0.0000,39.3162,2.3109,Pareja de 7s,Punto de 25,25,1,0
"1,7,7,12",1,7,7,12,29.3202,21.3033,20.7436,0.0000,39.3162,2.8143,Pareja de 7s,Punto de 25,25,1,0
