mano_clave,carta1,carta2,carta3,carta4,prob_grande,prob_chica,prob_pares,prob_juego,prob_punto,piedras_esperadas,tipo_mano,estado_juego,suma_puntos,valor_par,valor_juego
"4,6,7,10",4,6,7,10,2.0003,6.2041,0.0000,0.0000,69.0702,2.2362,Sin pares,Punto de 27,27,0,0
"4,6,7,11",4,6,7,11,6.3846,6.2041,0.0000,0.0000,69.0702,2.3239,Sin pares,Punto de 27,27,0,0
"4,6,7,12",4,6,7,12,28.1699,6.2942,0.0000,0.0000,69.0702,2.7614,Sin pares,Punto de 27,27,0,0
"4,6,7,7",4,6,7,7,0.4137,6.4980,16.3814,0.0000,28.6623,1.4895,Pareja de 7s,Punto de 24,24,1,0
"4,7,10,10",4,7,10,10,2.4181,4.3521,23.1337,100.0000,0.0000,5.8294,Pareja de 10s,Juego de 31,31,1,3
"4,7,10,11",4,7,10,11,8.9090,4.4048,0.0000,100.0000,0.0000,5.2663,Sin pares,Juego de 31,31,0,3
"4,7,10,12",4,7,10,12,41.5780,4.4843,0.0000,100.0000,0.0000,5.9212,Sin pares,Juego de 31,31,0,3
"4,7,11,11",4,7,11,11,10.1498,4.3521,31.0148,100.0000,0.0000,6.2205,Pareja de 11s,Juego de 31,31,1,3
"4,7,11,12",4,7,11,12,60.3683,4.4843,0.0000,100.0000,0.0000,6.2971,Sin pares,Juego de 31,31,0,3
"4,7,12,12",4,7,12,12,86.3729,4.4445,72.6049,100.0000,0.0000,8.9945,Pareja de 12s,Juego de 31,31,1,3
"4,7,7,10",4,7,7,10,2.1220,5.0260,19.3235,0.0000,83.7677,3.2357,Pareja de 7s,Punto de 28,28,1,0
"4,7,7,11",4,7,7,11,6.6172,5.0260,19.3235,0.0000,83.7677,3.3256,Pareja de 7s,Punto de 28,28,1,0
"4,7,7,12",4,7,7,12,29.3726,5.0351,20.9274,0.0000,83.7677,3.8290,Pareja de 7s,Punto de 28,28,1,0
"4,7,7,7",4,7,7,7,0.4163,5.0533,76.4182,0.0000,39.7004,4.3571,Medias de 7s,Punto de 25,25,2,0
"5,10,10,10",5,10,10,10,2.4305,0.6725,77.0745,8.5988,0.0000,3.4890,Medias de 10s,Juego de 35 (bueno),35,2,2
"5,10,10,11",5,10,10,11,9.3196,0.6751,26.6022,8.5988,0.0000,1.3419,Pareja de 10s,Juego de 35 (bueno),35,1,2
"5,10,10,12",5,10,10,12,43.8053,0.6785,28.8040,8.5988,0.0000,2.0977,Pareja de 10s,Juego de 35 (bueno),35,1,2
"5,10,11,11",5,10,11,11,10.2441,0.6751,31.0148,8.5988,0.0000,1.4928,Pareja de 11s,Juego de 35 (bueno),35,1,2
"5,10,11,12",5,10,11,12,65.9079,0.7275,0.0000,8.5988,0.0000,1.6767,Sin pares,Juego de 35 (bueno),35,0,2
"5,10,12,12",5,10,12,12,91.0182,0.7116,72.6049,8.5988,0.0000,4.3567,Pareja de 12s,Juego de 35 (bueno),35,1,2
"5,11,11,11",5,11,11,11,10.2712,0.6725,77.7342,8.5988,0.0000,3.6722,Medias de 11s,Juego de 35 (bueno),35,2,2
"5,11,11,12",5,11,11,12,68.8840,0.6785,37.9000,8.5988,0.0000,2.8722,Pareja de 11s,Juego de 35 (bueno),35,1,2
"5,11,12,12",5,11,12,12,95.9364,0.7116,72.6049,8.5988,0.0000,4.4551,Pareja de 12s,Juego de 35 (bueno),35,1,2
"5,12,12,12",5,12,12,12,99.4398,0.6811,87.6411,8.5988,0.0000,5.8520,Medias de 12s,Juego de 35 (bueno),35,2,2
"5,5,10,10",5,5,10,10,2.3664,2.3253,89.8744,0.0000,100.0000,7.5876,Duples (10s y 5s),Punto de 30,30,3,0
"5,5,10,11",5,5,10,11,7.9400,2.3289,10.2874,0.0000,100.0000,3.5140,Pareja de 5s,Punto de 30,30,1,0
"5,5,10,12",5,5,10,12,36.3626,2.3344,11.1467,0.0000,100.0000,4.1083,Pareja de 5s,Punto de 30,30,1,0
"5,5,11,11",5,5,11,11,10.0364,2.3253,91.4291,0.0000,100.0000,7.8187,Duples (11s y 5s),Punto de 30,30,3,0
"5,5,11,12",5,5,11,12,53.9646,2.3344,11.1467,0.0000,100.0000,4.4604,Pareja de 5s,Punto de 30,30,1,0
"5,5,12,12",5,5,12,12,80.8799,2.3317,97.8088,0.0000,100.0000,9.5547,Duples (12s y 5s),Punto de 30,30,3,0
"5,5,5,10",5,5,5,10,0.9301,2.4305,75.5917,0.0000,43.8319,4.4058,Medias de 5s,Punto de 25,25,2,0
"5,5,5,11",5,5,5,11,4.1766,2.4305,75.5917,0.0000,43.8319,4.4708,Medias de 5s,Punto de 25,25,2,0
"5,5,5,12",5,5,5,12,17.0781,2.4305,78.0783,0.0000,43.8319,4.8283,Medias de 5s,Punto de 25,25,2,0
"5,5,5,5",5,5,5,5,0.0016,2.4305,85.8971,0.0000,5.8135,4.5179,Cuaternas de 5s,Punto de 20,20,3,0
"5,5,5,6",5,5,5,6,0.0310,2.4305,75.5917,0.0000,9.0045,3.3430,Medias de 5s,Punto de 21,21,2,0
"5,5,5,7",5,5,5,7,0.1711,2.4305,75.5917,0.0000,19.9997,3.6757,Medias de 5s,Punto de 22,22,2,0
"5,5,6,10",5,5,6,10,1.2858,2.4071,10.2874,0.0000,52.6251,1.9612,Pareja de 5s,Punto de 26,26,1,0
"5,5,6,11",5,5,6,11,4.9554,2.4071,10.2874,0.0000,52.6251,2.0346,Pareja de 5s,Punto de 26,26,1,0
"5,5,6,12",5,5,6,12,20.9069,2.4126,11.1467,0.0000,52.6251,2.3795,Pareja de 5s,Punto de 26,26,1,0
"5,5,6,6",5,5,6,6,0.0425,2.4305,87.4094,0.0000,20.7562,5.0426,Duples (6s y 5s),Punto de 22,22,3,0
"5,5,6,7",5,5,6,7,0.3222,2.4291,10.2874,0.0000,24.2889,1.0923,Pareja de 5s,Punto de 23,23,1,0
"5,5,7,10",5,5,7,10,1.8184,2.3770,10.2874,0.0000,68.7212,2.4542,Pareja de 5s,Punto de 27,27,1,0
"5,5,7,11",5,5,7,11,6.0326,2.3770,10.2874,0.0000,68.7212,2.5385,Pareja de 5s,Punto de 27,27,1,0
"5,5,7,12",5,5,7,12,26.3583,2.3824,11.1467,0.0000,68.7212,2.9709,Pareja de 5s,Punto de 27,27,1,0
"5,5,7,7",5,5,7,7,0.4056,2.3948,88.5365,0.0000,28.6523,5.3424,Duples (7s y 5s),Punto de 24,24,3,0
"5,6,10,10",5,6,10,10,2.3934,1.4885,23.1337,100.0000,0.0000,5.7716,Pareja de 10s,Juego de 31,31,1,3
"5,6,10,11",5,6,10,11,8.4408,1.5169,0.0000,100.0000,0.0000,5.1992,Sin pares,Juego de 31,31,0,3
"5,6,10,12",5,6,10,12,39.0501,1.5599,0.0000,100.0000,0.0000,5.8122,Sin pares,Juego de 31,31,0,3
"5,6,11,11",5,6,11,11,10.0956,1.4885,31.0148,100.0000,0.0000,6.1621,Pareja de 11s,Juego de 31,31,1,3
"5,6,11,12",5,6,11,12,57.2726,1.5599,0.0000,100.0000,0.0000,6.1766,Sin pares,Juego de 31,31,0,3
"5,6,12,12",5,6,12,12,83.7352,1.5383,72.6049,100.0000,0.0000,8.8836,Pareja de 12s,Juego de 31,31,1,3
"5,6,6,10",5,6,6,10,1.3320,2.1114,13.1735,0.0000,65.5779,2.4314,Pareja de 6s,Punto de 27,27,1,0
"5,6,6,11",5,6,6,11,5.0533,2.1114,13.1735,0.0000,65.5779,2.5058,Pareja de 6s,Punto de 27,27,1,0
"5,6,6,12",5,6,6,12,21.3939,2.1167,14.2703,0.0000,65.5779,2.8657,Pareja de 6s,Punto de 27,27,1,0
"5,6,6,6",5,6,6,6,0.0425,2.1327,75.7651,0.0000,25.5680,3.8412,Medias de 6s,Punto de 23,23,2,0
"5,6,6,7",5,6,6,7,0.3433,2.1327,13.1735,0.0000,28.4097,1.2970,Pareja de 6s,Punto de 24,24,1,0
"5,6,7,10",5,6,7,10,2.0477,1.9066,0.0000,0.0000,84.7288,2.6210,Sin pares,Punto de 28,28,0,0
"5,6,7,11",5,6,7,11,6.4753,1.9066,0.0000,0.0000,84.7288,2.7095,Sin pares,Punto de 28,28,0,0
"5,6,7,12",5,6,7,12,28.6387,1.9533,0.0000,0.0000,84.7288,3.1537,Sin pares,Punto de 28,28,0,0
"5,6,7,7",5,6,7,7,0.4158,2.0596,16.3814,0.0000,42.9740,1.8302,Pareja de 7s,Punto de 25,25,1,0
"5,7,10,10",5,7,10,10,2.4236,1.0080,23.1337,37.2098,0.0000,2.2510,Pareja de 10s,Juego de 32,32,1,2
"5,7,10,11",5,7,10,11,9.0141,1.0318,0.0000,37.2098,0.0000,1.6893,Sin pares,Juego de 32,32,0,2
"5,7,10,12",5,7,10,12,42.1473,1.0679,0.0000,37.2098,0.0000,2.3527,Sin pares,Juego de 32,32,0,2
"5,7,11,11",5,7,11,11,10.1619,1.0080,31.0148,37.2098,0.0000,2.6422,Pareja de 11s,Juego de 32,32,1,2
"5,7,11,12",5,7,11,12,61.0638,1.0679,0.0000,37.2098,0.0000,2.7310,Sin pares,Juego de 32,32,0,2
"5,7,12,12",5,7,12,12,86.9617,1.0497,72.6049,37.2098,0.0000,5.4268,Pareja de 12s,Juego de 32,32,1,2
"5,7,7,10",5,7,7,10,2.1274,1.3191,19.3235,0.0000,90.2755,3.3569,Pareja de 7s,Punto de 29,29,1,0
"5,7,7,11",5,7,7,11,6.6273,1.3191,19.3235,0.0000,90.2755,3.4469,Pareja de 7s,Punto de 29,29,1,0
"5,7,7,12",5,7,7,12,29.4251,1.3234,20.9274,0.0000,90.2755,3.9511,Pareja de 7s,Punto de 29,29,1,0
"5,7,7,7",5,7,7,7,0.4163,1.3320,76.4182,0.0000,55.3652,4.7526,Medias de 7s,Punto de 26,26,2,0
"6,10,10,10",6,10,10,10,2.4305,0.0803,77.0745,12.7820,0.0000,3.6445,Medias de 10s,Juego de 36 (bueno),36,2,2
"6,10,10,11",6,10,10,11,9.3314,0.0812,26.6022,12.7820,0.0000,1.4976,Pareja de 10s,Juego de 36 (bueno),36,1,2
"6,10,10,12",6,10,10,12,43.8693,0.0823,28.8040,12.7820,0.0000,2.2544,Pareja de 10s,Juego de 36 (bueno),36,1,2
"6,10,11,11",6,10,11,11,10.2562,0.0812,31.0148,12.7820,0.0000,1.6485,Pareja de 11s,Juego de 36 (bueno),36,1,2
"6,10,11,12",6,10,11,12,66.6280,0.0986,0.0000,12.7820,0.0000,1.8458,Sin pares,Juego de 36 (bueno),36,0,2
"6,10,12,12",6,10,12,12,91.6158,0.0932,72.6049,12.7820,0.0000,4.5236,Pareja de 12s,Juego de 36 (bueno),36,1,2
"6,11,11,11",6,11,11,11,10.2712,0.0803,77.7342,12.7820,0.0000,3.8277,Medias de 11s,Juego de 36 (bueno),36,2,2
"6,11,11,12",6,11,11,12,68.9647,0.0823,37.9000,12.7820,0.0000,3.0292,Pareja de 11s,Juego de 36 (bueno),36,1,2
"6,11,12,12",6,11,12,12,96.5436,0.0932,72.6049,12.7820,0.0000,4.6222,Pareja de 12s,Juego de 36 (bueno),36,1,2
"6,12,12,12",6,12,12,12,99.5756,0.0832,87.6411,12.7820,0.0000,6.0101,Medias de 12s,Juego de 36 (bueno),36,2,2
"6,6,10,10",6,6,10,10,2.3948,0.3902,89.9099,37.2661,0.0000,6.0418,Duples (10s y 6s),Juego de 32,32,3,2
"6,6,10,11",6,6,10,11,8.4665,0.3915,15.8350,37.2661,0.0000,2.1429,Pareja de 6s,Juego de 32,32,1,2
"6,6,10,12",6,6,10,12,39.1883,0.3936,17.1535,37.2661,0.0000,2.7969,Pareja de 6s,Juego de 32,32,1,2
"6,6,11,11",6,6,11,11,10.0986,0.3902,91.4650,37.2661,0.0000,6.2737,Duples (11s y 6s),Juego de 32,32,3,2
"6,6,11,12",6,6,11,12,57.4423,0.3936,17.1535,37.2661,0.0000,3.1620,Pareja de 6s,Juego de 32,32,1,2
"6,6,12,12",6,6,12,12,83.8809,0.3926,98.3551,37.2661,0.0000,8.0939,Duples (12s y 6s),Juego de 32,32,3,2
"6,6,6,10",6,6,6,10,1.3320,0.4163,76.2439,0.0000,84.9574,5.6334,Medias de 6s,Punto de 28,28,2,0
"6,6,6,11",6,6,6,11,5.0533,0.4163,76.2439,0.0000,84.9574,5.7079,Medias de 6s,Punto de 28,28,2,0
"6,6,6,12",6,6,6,12,21.3939,0.4163,78.7617,0.0000,84.9574,6.1354,Medias de 6s,Punto de 28,28,2,0
"6,6,6,6",6,6,6,6,0.0425,0.4163,86.9354,0.0000,27.8786,5.1923,Cuaternas de 6s,Punto de 24,24,3,0
"6,6,6,7",6,6,6,7,0.3433,0.4163,76.2439,0.0000,43.0091,4.3552,Medias de 6s,Punto de 25,25,2,0
"6,6,7,10",6,6,7,10,2.0596,0.4096,15.8350,0.0000,92.5581,3.3012,Pareja de 6s,Punto de 29,29,1,0
"6,6,7,11",6,6,7,11,6.4980,0.4096,15.8350,0.0000,92.5581,3.3899,Pareja de 6s,Punto de 29,29,1,0
"6,6,7,12",6,6,7,12,28.7561,0.4116,17.1535,0.0000,92.5581,3.8747,Pareja de 6s,Punto de 29,29,1,0
"6,6,7,7",6,6,7,7,0.4163,0.4163,88.5717,0.0000,59.3002,6.2242,Duples (7s y 6s),Punto de 26,26,3,0
"6,7,10,10",6,7,10,10,2.4291,0.2018,23.1337,0.2423,0.0000,0.7563,Pareja de 10s,Juego de 33 (bueno),33,1,2
"6,7,10,11",6,7,10,11,9.1195,0.2116,0.0000,0.2423,0.0000,0.1963,Sin pares,Juego de 33 (bueno),33,0,2
"6,7,10,12",6,7,10,12,42.7189,0.2267,0.0000,0.2423,0.0000,0.8686,Sin pares,Juego de 33 (bueno),33,0,2
"6,7,11,11",6,7,11,11,10.1739,0.2018,31.0148,0.2423,0.0000,1.1477,Pareja de 11s,Juego de 33 (bueno),33,1,2
"6,7,11,12",6,7,11,12,61.7616,0.2267,0.0000,0.2423,0.0000,1.2495,Sin pares,Juego de 33 (bueno),33,0,2
"6,7,12,12",6,7,12,12,87.5514,0.2191,72.6049,0.2423,0.0000,3.9432,Pareja de 12s,Juego de 33 (bueno),33,1,2
"6,7,7,10",6,7,7,10,2.1327,0.3374,19.3235,0.0000,100.0000,3.6291,Pareja de 7s,Punto de 30,30,1,0
"6,7,7,11",6,7,7,11,6.6374,0.3374,19.3235,0.0000,100.0000,3.7192,Pareja de 7s,Punto de 30,30,1,0
"6,7,7,12",6,7,7,12,29.4776,0.3393,20.9274,0.0000,100.0000,4.2242,Pareja de 7s,Punto de 30,30,1,0
"6,7,7,7",6,7,7,7,0.4163,0.3433,76.4182,0.0000,72.2929,5.2407,Medias de 7s,Punto de 27,27,2,0
"7,10,10,10",7,10,10,10,2.4305,0.0043,77.0745,18.7268,0.0000,3.8807,Medias de 10s,Juego de 37 (bueno),37,2,2
"7,10,10,11",7,10,10,11,9.3432,0.0044,26.6022,18.7268,0.0000,1.7341,Pareja de 10s,Juego de 37 (bueno),37,1,2
"7,10,10,12",7,10,10,12,43.9332,0.0047,28.8040,18.7268,0.0000,2.4919,Pareja de 10s,Juego de 37 (bueno),37,1,2
"7,10,11,11",7,10,11,11,10.2682,0.0044,31.0148,18.7268,0.0000,1.8850,Pareja de 11s,Juego de 37 (bueno),37,1,2
"7,10,11,12",7,10,11,12,67.3503,0.0084,0.0000,18.7268,0.0000,2.0962,Sin pares,Juego de 37 (bueno),37,0,2
"7,10,12,12",7,10,12,12,92.2142,0.0071,72.6049,18.7268,0.0000,4.7716,Pareja de 12s,Juego de 37 (bueno),37,1,2
"7,11,11,11",7,11,11,11,10.2712,0.0043,77.7342,18.7268,0.0000,4.0640,Medias de 11s,Juego de 37 (bueno),37,2,2
"7,11,11,12",7,11,11,12,69.0455,0.0047,37.9000,18.7268,0.0000,3.2671,Pareja de 11s,Juego de 37 (bueno),37,1,2
"7,11,12,12",7,11,12,12,97.1516,0.0071,72.6049,18.7268,0.0000,4.8704,Pareja de 12s,Juego de 37 (bueno),37,1,2
"7,12,12,12",7,12,12,12,99.7114,0.0048,87.6411,18.7268,0.0000,6.2490,Medias de 12s,Juego de 37 (bueno),37,2,2
"7,7,10,10",7,7,10,10,2.4305,0.0383,89.9454,2.7545,0.0000,4.6568,Duples (10s y 7s),Juego de 34 (bueno),34,3,2
"7,7,10,11",7,7,10,11,9.1459,0.0387,22.5114,2.7545,0.0000,0.9692,Pareja de 7s,Juego de 34 (bueno),34,1,2
"7,7,10,12",7,7,10,12,42.8620,0.0393,24.3798,2.7545,0.0000,1.6996,Pareja de 7s,Juego de 34 (bueno),34,1,2
"7,7,11,11",7,7,11,11,10.1769,0.0383,91.5009,2.7545,0.0000,4.8895,Duples (11s y 7s),Juego de 34 (bueno),34,3,2
"7,7,11,12",7,7,11,12,61.9363,0.0393,24.3798,2.7545,0.0000,2.0811,Pareja de 7s,Juego de 34 (bueno),34,1,2
"7,7,12,12",7,7,12,12,87.6989,0.0390,98.9025,2.7545,0.0000,6.8101,Duples (12s y 7s),Juego de 34 (bueno),34,3,2
"7,7,7,10",7,7,7,10,2.1327,0.0425,76.8994,100.0000,0.0000,8.1195,Medias de 7s,Juego de 31,31,2,3
"7,7,7,11",7,7,7,11,6.6374,0.0425,76.8994,100.0000,0.0000,8.2096,Medias de 7s,Juego de 31,31,2,3
"7,7,7,12",7,7,7,12,29.4776,0.0425,79.4485,100.0000,0.0000,8.7683,Medias de 7s,Juego de 31,31,2,3
"7,7,7,7",7,7,7,7,0.4163,0.0425,88.1721,0.0000,78.8585,6.7835,Cuaternas de 7s,Punto de 28,28,3,0
